offset,ea,b0,b1,b2,action,target,notes
CF,0x1142,4F,F0,ED,.,.,
D0,0x1143,F0,ED,22,.,.,
D1,0x1144,ED,22,E4,.,.,
D2,0x1145,22,E4,F0,.,.,
D3,0x1146,E4,F0,A3,.,.,
D4,0x1147,F0,A3,74,.,.,
D5,0x1148,A3,74,80,.,.,
D6,0x1149,74,80,F0,.,.,
D7,0x114A,80,F0,A3,SJMP,0x113C,
D8,0x114B,F0,A3,22,.,.,
D9,0x114C,A3,22,E0,.,.,
DA,0x114D,22,E0,FF,.,.,
DB,0x114E,E0,FF,EF,.,.,
DC,0x114F,FF,EF,90,.,.,
DD,0x1150,EF,90,11,.,.,
DE,0x1151,90,11,9D,.,.,
DF,0x1152,11,9D,F0,.,.,
E0,0x1153,9D,F0,22,.,.,
E1,0x1154,F0,22,54,.,.,
E2,0x1155,22,54,03,.,.,
E3,0x1156,54,03,FF,.,.,
E4,0x1157,03,FF,E0,.,.,
E5,0x1158,FF,E0,54,.,.,
E6,0x1159,E0,54,FC,.,.,
E7,0x115A,54,FC,4F,.,.,
E8,0x115B,FC,4F,F0,.,.,
E9,0x115C,4F,F0,ED,.,.,
EA,0x115D,F0,ED,22,.,.,
EB,0x115E,ED,22,A3,.,.,
EC,0x115F,22,A3,E0,.,.,
ED,0x1160,A3,E0,90,.,.,
EE,0x1161,E0,90,11,.,.,
EF,0x1162,90,11,D3,.,.,
F0,0x1163,11,D3,F0,.,.,
F1,0x1164,D3,F0,22,.,.,
F2,0x1165,F0,22,A3,.,.,
F3,0x1166,22,A3,E0,.,.,
F4,0x1167,A3,E0,90,.,.,
F5,0x1168,E0,90,11,.,.,
F6,0x1169,90,11,D4,.,.,
F7,0x116A,11,D4,F0,.,.,
F8,0x116B,D4,F0,22,.,.,
F9,0x116C,F0,22,12,.,.,
FA,0x116D,22,12,B0,LCALL,0xB0C8,
FB,0x116E,12,B0,C8,.,.,
FC,0x116F,B0,C8,F0,.,.,
FD,0x1170,C8,F0,A3,.,.,
FE,0x1171,F0,A3,74,.,.,
FF,0x1172,A3,74,CC,.,.,
